,User,Tweet
104,sasi_21_7,"How well has Prime minister Modi ji explained his 5 years work for the nation in the press conference. You are a true leader modi ji. Salute. Haters gonna hate. #NarendraModi
#ModiPressConference #LokSabhaElections2019"
105,gaur_anubhuti,"Election Commission crisis deepens as Election Commissioner Ashok Lavasa opts out of the full Commission meetings as his dissent note not included. Raises further questions on the clean chits given to PM Modi.
@NewsHtn 
#LokSabhaElections2019 
#ElectionCommissionOfIndia"
106,KKTyagi65,"#BJP  NaMo is truly pride of India. Hope that he is going to take  NATION in his new stint to new heights, Before him , baring Atal &amp; Shastri ji , all PM were doing good for their kith &amp; kin, they never focussed so much 4 uplifting downtrodden. Let us all wish him all the best."
107,PeacefulHind,"Prime Minister Shri #NarendraModi
Said he has not forgiven Pragya Singh Thakur by heart!

Obiovsly it's because love &amp; respect  towards Mahatma Gandhi !

Q. If love &amp; respect is so genuine definitely he should have removed her from fighting election!

#MuteModi PM Modi Telegraph"
108,DBhandari14,"@RahulGandhi Congratulations To u @RahulGandhi u tried to face something called as interview on ur own turf after 4 phases of elections !! Next time u won't be in politics..so far till now...u did ok ok!!

And yes importantly 

#AayegaTohModiHi @narendramodi #Modi #LokSabhaElections2019"
109,Raghubv,"Watchin @IndiaToday is off so much fun,anchor asks q 2 ppl standin in Q ""how long u had 2 wait coz PM was doing pooja"" all say bham bham bole,ab ki bar #modi sarkar n anchor tries 2 move away n ask others but all saying same so he starts talkin 2 studio #ModiInKedarnath #BJP"
110,imshaurya1308,"Who is the best spokesperson of BJP/NDA?
#aajtak #republic #zeenews #jaayegatohmodihi @narendramodi @RahulGandhi #LokSabhaElections2019 #loksabha @AamAadmiParty @avsurya @dhruv_rathee @akashbanerjee #bjp #Congress #ModiObsession #ElectionsWithNDTV #ElectionCommissionOfIndia"
111,activistshiv,"@ndtv Chowkidar @narendramodi ji,On one side u want Pragya Singh Thakur as #BJP MP from #Bhopal and on the other ,u will never forgive her for insulting Bapu.Isn't she facing trial under terrorism charges?
Who you want to make fool of ?

#DeshKaGauravModi? #ModiFlopPressConference"
112,umakantsingh_IN,"@MamataOfficial @yadavakhilesh @Mayawati @ArvindKejriwal I hardly care what people in foreign country do ratings, but go through, before @TIME told I knew Modi #DividerInChief, Rahul #DividerNo.1 , so I went for uniting India, United India  govt of united parties govt..1/2 #LokSabhaElections2019 #Kedarnath #BuddhaPurnima Omar Khayyam"
113,FilmiChat,"The press conference confirmed one thing Modi doesn’t have the real power. It all belongs to Amit Shah. What a failure. 
#NarendraModi 
#AmitShah"
114,newsbluntmedia,"PM #NarendraModi was accompanied by BJP national president #AmitShah in the press conference that took place at #BJP headquarters in #Delhi.

#Loksabhaelections2019"
115,_dagalti,"Modi said, I can’t forgive Pragya Thakur from my heart. 

But still the party didn’t sack her. 

“It’s not who you’re underneath, it’s what you do that defines you.” - Rachel Dawes from Batman Begins. 

#Batman da😂 #PragyaThakur #BJP #ModiPressConference"
116,kumardurgesh262,"@narendramodi Sir,I have a prayer from you that please read my tweet once After reading the tweets, understand my pain and sir and you will join us in your party,And I promise you that I will not leave the #BJP till I die.Just listen to me once.
Shri @narendramodi Ji"
117,Vikasguptabjp,Members of campaign also wrote articles and rebuttals on different popular media platform to bust the negative and false propaganda against Modi Sarkar. #academics4namo  #NarendraModi @narendramodi @PMOIndia
118,neerajbhushan,Countdown to #May23: Both Narendra Modi of #BJP and Rahul Gandhi of #Congress are upbeat about becoming the prime minister. What if there’s a dark horse quietly waiting to be sworn in after votes are declared after this #LokSabhaEelctions2019
119,umakantsingh_IN,"@ysjagan I was telling all along Modi-Rahul fighting for 2024, Modi can't stop ,his only quality I admire, get inspired,even if getting defeated, so before results , ""again"" going to Himalayas to ""re-discover"" himself for 2024 as 2019 lost! #kedarnath #loksabhaelections2019 Lord Buddha"
120,HappaNarinder,"Prime Minister @narendramodi, in opening remarks in his first appearance at a press conference asserted,that, since he came to power in 2014, the #BJP will come back to power with a full majority on its own. The PM refused to take any questions, citing party  discipline."
121,NeetFiles,"@s_palani If there was a Satta Matka session on the PM press meet yesterday the bookies would have lost again ... 🤑😂
Because it turned out to be @AmitShah press conference 
#LokSabhaElections2019 
Modi Hai Toh Mumkin Hai 
#ModiAaneWalaHai 
@muglikar_"
122,Cdhar7,"@Abhishek4_BJP @swadesh171 @kumarnandaj @ramesh_avadh @JagranNews @PMOIndia @narendramodi @AmitShah @BJP4India @BJP4UP @drdineshbjp Meet the supervisors of #BJP coolie Troll factory, which produced hate trolls, abuses and anatomy selfies.
#ButtonDabaoDeshBachao"
123,FCSJigarShah,"@Jainbalwant BTW that was not Modi's press conference. He has attended official #BJP PC where #BJP president took question and they discussed about strategy.

While Amit Shah, party president, took question on conclusion of election campaign. Modi made it clear to #Media that you don't matter"
124,VINEET1966,@BJP4Maharashtra @PMOIndia @Dev_Fadnavis @narendramodi Time to flee the country for sake of ones children. When #caste rules at over 50% quota and meritocracy is sacrificed at the altar of appeasement politics all claims by #BJP of being fair to all citizens are hollow &amp; false
125,aanunim,"Have trust in Narendra Modi. Either he will find way or make one. PM and NDA thank 128 crore Indians for winning 434 seats this 17th LS election.

 ಮನದಾಳದ ಕೂಗು... ನಮೋ ಮತೊಮ್ಮೆ... #NarendraModi
@narendramodi @BJP4India @AmitShah @Tejasvi_Surya"
126,umakantsingh_IN,"Happy #BuddhaPurnima to all now Indian economy perhaps out of long-circuit fire of Modi and  short-circuit fire of  Rahul, country to go for middle-circuit! #LokSabhaElections2019 Varanasi"
127,actindia,"BJP has already got mandate to form government, PM Modi interjected in BJP National President Amit Shah's press conference.
@BJPLive @BJP4India @BJPPath @chikchirp @AmitShah @narendramodi @PMOIndia 
#LokSabhaElections2019 #DeshKaGauravModi"
128,Shivauggera,@Prof_Hariom @narendramodi My guess #BJP alone 345.
